stat_type,stat_number,teamID
GP,32,1
GS,,1
MIN,6490,1
MIN/G,202.8,1
FGM,838,1
FGA,1825,1
FG%,.459,1
3PT,193,1
3PTA,615,1
3PT%,.314,1
FTM,420,1
FTA,635,1
FT%,.661,1
PTS,2289,1
AVG,71.53,1
OFF REB,309,1
DEF REB,845,1
REB,1154,1
REB/G,36.1,1
PF,548,1
AST,426,1
TO,404,1
STL,209,1
BLK,142,1
