fname,lname,statType,statNum
Jake,Forrester,FTA,9
Jake,Forrester,FT%,.333
Jake,Forrester,PTS,25
Jake,Forrester,AVG,2.5
Jake,Forrester,OFF REB,6
Jake,Forrester,DEF REB,10
Jake,Forrester,REB,16
Jake,Forrester,REB/G,1.6
Jake,Forrester,PF,15
Jake,Forrester,AST,0
Jake,Forrester,TO,5
Jake,Forrester,STL,0
Jake,Forrester,BLK,4
Race,Thompson,GP,2
Race,Thompson,GS,0
Race,Thompson,MIN,11
Race,Thompson,MIN/G,5.5
Race,Thompson,FGM,2
Race,Thompson,FGA,2
Race,Thompson,FG%,1.000
Race,Thompson,3PT,0
Race,Thompson,3PTA,0
Race,Thompson,3PT%,.000
Race,Thompson,FT,0
Race,Thompson,FTA,0
Race,Thompson,FT%,.000
Race,Thompson,PTS,4
Race,Thompson,AVG,2.0
Race,Thompson,OFF REB,2
Race,Thompson,DEF REB,3
Race,Thompson,REB,5
Race,Thompson,REB/G,2.5
Race,Thompson,PF,0
Race,Thompson,AST,0
Race,Thompson,TO,0
Race,Thompson,STL,1
Race,Thompson,BLK,2
Damezi,Anderson,GP,18
Damezi,Anderson,GS,0
Damezi,Anderson,MIN,194
Damezi,Anderson,MIN/G,10.8
Damezi,Anderson,FGM,12
Damezi,Anderson,FGA,40
Damezi,Anderson,FG%,.300
Damezi,Anderson,3PT,7
Damezi,Anderson,3PTA,28
Damezi,Anderson,3PT%,.250
Damezi,Anderson,FT,0
Damezi,Anderson,FTA,1
Damezi,Anderson,FT%,.000
Damezi,Anderson,PTS,31
Damezi,Anderson,AVG,1.7
Damezi,Anderson,OFF REB,3
Damezi,Anderson,DEF REB,20
Damezi,Anderson,REB,23
Damezi,Anderson,REB/G,1.3
Damezi,Anderson,PF,17
Damezi,Anderson,AST,8
Damezi,Anderson,TO,10
Damezi,Anderson,STL,3
Damezi,Anderson,BLK,0
Clifton,Moore,GP,13
Clifton,Moore,GS,0
Clifton,Moore,MIN,58
Clifton,Moore,MIN/G,4.5
Clifton,Moore,FGM,7
Clifton,Moore,FGA,11
Clifton,Moore,FG%,.636
Clifton,Moore,3PT,0
Clifton,Moore,3PTA,0
Clifton,Moore,3PT%,.000
Clifton,Moore,FT,5
Clifton,Moore,FTA,12
Clifton,Moore,FT%,.417
Clifton,Moore,PTS,19
Clifton,Moore,AVG,1.5
Clifton,Moore,OFF REB,7
Clifton,Moore,DEF REB,17
Clifton,Moore,REB,24
Clifton,Moore,REB/G,1.8
Clifton,Moore,PF,9
Clifton,Moore,AST,4
Clifton,Moore,TO,4
Clifton,Moore,STL,3
Clifton,Moore,BLK,3
Vijay,Blackmon,GP,5
Vijay,Blackmon,GS,0
Vijay,Blackmon,MIN,10
Vijay,Blackmon,MIN/G,2.0
Vijay,Blackmon,FGM,3
Vijay,Blackmon,FGA,5
