stat_type,stat_number,teamID
WHIP,1.24,3
W-L,11-8,3
APP-GS,64-19,3
CG,0,3
SO,2,3
SV,3,3
HR,4,3
B/AVG,.218,3
WP,17,3
HBP,19,3
BK,3,3
SFA,8,3
SHA,4,3
SHA,,3
