stat_type,stat_number,teamID
GP,12,2
Solo,551,2
ASST,238,2
TOT,789,2
TFL,69.0,2
TFL-YDS,251,2
SCK,22.0,2
SCK-YDS,140,2
INT,13,2
BU,33,2
QBH,23,2
FR,13,2
FF,14,2
KICK,2,2
SAF,0,2
