stat_type,stat_number,teamID
GP,24,4
G,47,4
A,59,4
PTS,153,4
SH,361,4
SH%,0.130,4
SOG,145,4
SOG%,0.402,4
YC,14,4
RC,0,4
GW,20,4
PG,0,4
PA,0,4
