fname,lname,stat_type,stat_number
Jake,Forrester,FTA,9
Jake,Forrester,FT%,.333
Jake,Forrester,PTS,25
Jake,Forrester,AVG,2.3
Jake,Forrester,OFF REB,6
Jake,Forrester,DEF REB,11
Jake,Forrester,REB,17
Jake,Forrester,REB/G,1.5
Jake,Forrester,PF,15
Jake,Forrester,AST,0
Jake,Forrester,TO,5
Jake,Forrester,STL,1
Jake,Forrester,BLK,4
Damezi,Anderson,GP,18
Damezi,Anderson,GS,0
Damezi,Anderson,MIN,194
Damezi,Anderson,MIN/G,10.8
Damezi,Anderson,FGM,12
Damezi,Anderson,FGA,40
Damezi,Anderson,FG%,.300
Damezi,Anderson,3PT,7
Damezi,Anderson,3PTA,28
Damezi,Anderson,3PT%,.250
Damezi,Anderson,FT,0
Damezi,Anderson,FTA,1
Damezi,Anderson,FT%,.000
Damezi,Anderson,PTS,31
Damezi,Anderson,AVG,1.7
Damezi,Anderson,OFF REB,3
Damezi,Anderson,DEF REB,20
Damezi,Anderson,REB,23
Damezi,Anderson,REB/G,1.3
Damezi,Anderson,PF,17
Damezi,Anderson,AST,8
Damezi,Anderson,TO,10
Damezi,Anderson,STL,3
Damezi,Anderson,BLK,0
Clifton,Moore,GP,13
Clifton,Moore,GS,0
Clifton,Moore,MIN,58
Clifton,Moore,MIN/G,4.5
Clifton,Moore,FGM,7
Clifton,Moore,FGA,11
Clifton,Moore,FG%,.636
Clifton,Moore,3PT,0
Clifton,Moore,3PTA,0
Clifton,Moore,3PT%,.000
Clifton,Moore,FT,5
Clifton,Moore,FTA,12
Clifton,Moore,FT%,.417
Clifton,Moore,PTS,19
Clifton,Moore,AVG,1.5
Clifton,Moore,OFF REB,7
Clifton,Moore,DEF REB,17
Clifton,Moore,REB,24
Clifton,Moore,REB/G,1.8
Clifton,Moore,PF,9
Clifton,Moore,AST,4
Clifton,Moore,TO,4
Clifton,Moore,STL,3
Clifton,Moore,BLK,3
Vijay,Blackmon,GP,5
Vijay,Blackmon,GS,0
Vijay,Blackmon,MIN,10
Vijay,Blackmon,MIN/G,2.0
Vijay,Blackmon,FGM,3
Vijay,Blackmon,FGA,5
Vijay,Blackmon,FG%,.600
Vijay,Blackmon,3PT,1
Vijay,Blackmon,3PTA,2
Vijay,Blackmon,3PT%,.500
Vijay,Blackmon,FT,0
Vijay,Blackmon,FTA,0
Vijay,Blackmon,FT%,.000
Vijay,Blackmon,PTS,7
Vijay,Blackmon,AVG,1.4
Vijay,Blackmon,OFF REB,0
Vijay,Blackmon,DEF REB,1
Vijay,Blackmon,REB,1
Vijay,Blackmon,REB/G,0.2
Vijay,Blackmon,PF,1
Vijay,Blackmon,AST,1
Vijay,Blackmon,TO,1
Vijay,Blackmon,STL,0
Vijay,Blackmon,BLK,0
Race,Thompson,GP,4
Race,Thompson,GS,0
