stat_type,stat_number,athleteID,teamID
DEF REB,44,27,1
REB,50,27,1
REB/G,2.1,27,1
PF,25,27,1
AST,14,27,1
TO,7,27,1
STL,14,27,1
BLK,0,27,1
GP,8,33,1
GS,0,33,1
MIN,61,33,1
MIN/G,7.6,33,1
FGM,2,33,1
FGA,5,33,1
FG%,.400,33,1
3PT,0,33,1
3PTA,3,33,1
3PT%,.000,33,1
FT,2,33,1
FTA,4,33,1
FT%,.500,33,1
PTS,6,33,1
AVG,0.8,33,1
OFF REB,5,33,1
DEF REB,14,33,1
REB,19,33,1
REB/G,2.4,33,1
PF,4,33,1
AST,0,33,1
TO,0,33,1
STL,3,33,1
BLK,3,33,1
GP,7,20,1
GS,0,20,1
MIN,16,20,1
MIN/G,2.3,20,1
FGM,0,20,1
FGA,2,20,1
FG%,.000,20,1
3PT,0,20,1
3PTA,2,20,1
3PT%,.000,20,1
FT,2,20,1
FTA,4,20,1
FT%,.500,20,1
PTS,2,20,1
AVG,0.3,20,1
OFF REB,0,20,1
DEF REB,2,20,1
REB,2,20,1
REB/G,0.3,20,1
PF,2,20,1
AST,1,20,1
TO,1,20,1
STL,2,20,1
BLK,0,20,1
GP,7,23,1
GS,0,23,1
MIN,9,23,1
MIN/G,1.3,23,1
FGM,0,23,1
FGA,2,23,1
FG%,.000,23,1
3PT,0,23,1
3PTA,1,23,1
3PT%,.000,23,1
FT,0,23,1
FTA,0,23,1
FT%,.000,23,1
PTS,0,23,1
AVG,0.0,23,1
OFF REB,0,23,1
DEF REB,3,23,1
REB,3,23,1
REB/G,0.4,23,1
PF,3,23,1
AST,0,23,1
TO,1,23,1
STL,1,23,1
BLK,0,23,1
