fname,lname,number,position,year,height,weight,hometown,highschool,image_path,teamID
SAMUEL,SLUSHER,46,DB,R-Fr.,"6'0""",190 lbs,"Greensburg, Ind.",Greensburg,https://iuhoosiers.com/images/2018/8/13/Slusher_Sam.jpg?width=80,2
MICAH,MCFADDEN,47,LB,Fr.,"6'2""",227 lbs,"Tampa, Fla.",Plant,https://iuhoosiers.com/images/2018/7/22/McFadden_Micah.jpg?width=80,2
ROBERT,TOLBERT,48,LB,Fr.,"5'11""",220 lbs,"Murphy, Texas",The Episcopal School of Dallas,https://iuhoosiers.com/images/2018/9/24/Tolbert_Robert.jpg?width=80,2
MADISON,NORRIS,49,DL,Fr.,"6'5""",207 lbs,"Indianapolis, Ind.",Hamilton Southeastern,https://iuhoosiers.com/images/2018/7/23/Norris_Madison.jpg?width=80,2
JOSHUA,BROWN,50,DL,R-Jr.,"6'0""",265 lbs,"Hillsborough, N.J.",Hillsborough,https://iuhoosiers.com/images/2017/7/21/Brown_Josh_1.jpg?width=80,2
NICK,LINDER,50,OL,Gr.,"6'3""",306 lbs,"Fort Lauderdale, Fla.",St. Thomas Aquinas,https://iuhoosiers.com/images/2018/8/13/Linder_Nick.jpg?width=80,2
MIKE,"BARWICK,JR.",51,DL,R-Sr.,"6'0""",307 lbs,"Cincinnati, Ohio",Summit Country Day,https://iuhoosiers.com/images/2018/8/7/Barwick_Mike_16.jpg?width=80,2
MACKENZIE,NWORAH,51,OL,R-So.,"6'4""",300 lbs,"Houston, Texas",Manvel,https://iuhoosiers.com/images/2018/8/13/Nworah_Mackenzie.jpg?width=80,2
DAVONDRE,LOVE,52,OL,R-Jr.,"6'7""",300 lbs,"St. Louis, Mo.",Affton,https://iuhoosiers.com/images/2018/8/15/Love_DaVondre.jpg?width=80,2
KAYTON,SAMUELS,52,DL,Gr.,"6'0""",325 lbs,"Ellenwood, Ga.",Arabia Mountain,https://iuhoosiers.com/images/2018/8/9/Samuels_Kayton_40.jpeg?width=80,2
ANDREW,STAMM,53,LB,R-So.,"6'2""",217 lbs,"Connersville, Ind.",Connersville,https://iuhoosiers.com/images/2018/8/13/Stamm_Andrew.jpg?width=80,2
JAMEREZ,BOWEN,54,DL,R-Sr.,"6'4""",311 lbs,"Cleveland, Ohio",Shaker Heights,https://iuhoosiers.com/images/2018/8/7/Bowen_Jamerez_94.jpg?width=80,2
COY,CRONK,54,OL,Jr.,"6'5""",309 lbs,"Lafayette, Ind.",Central Catholic,https://iuhoosiers.com/images/2018/8/9/Cronk_Coy.jpg?width=80,2
MICHAEL,MCGINNIS,55,LB,R-Sr.,"6'2""",237 lbs,"Allentown, N.J.",Allentown,https://iuhoosiers.com/images/2018/8/13/McGinnis_Mike.jpg?width=80,2
HARRY,CRIDER,57,OL,So.,"6'4""",306 lbs,"Columbus, Ind.",Columbus East,https://iuhoosiers.com/images/2018/8/13/Crider_Harry.jpg?width=80,2
JAKE,OSTROWSKI,58,DL,R-Fr.,"6'4""",239 lbs,"Fort Wayne, Ind.",Ball State University,https://iuhoosiers.com/images/2018/8/15/Ostrowski_Jake.jpg?width=80,2
GAVIN,MCCABE,59,DL,Fr.,"6'4""",261 lbs,"Oak Lawn, Ill.",Marist,https://iuhoosiers.com/images/2018/7/22/McCabe_Gavin_26.jpg?width=80,2
JACOB,LIMBACH,60,LS,R-So.,"6'1""",216 lbs,"Greenwood, Ind.",Center Grove,https://iuhoosiers.com/images/2018/8/15/Limbach_Jacob.jpg?width=80,2
NICK,RAMACCA,61,OL,R-Jr.,"6'2""",285 lbs,"Bohemia, N.Y.",Connetquot,https://iuhoosiers.com/images/2018/8/15/Ramacca_Nick.jpg?width=80,2
BRANDON,KNIGHT,62,OL,Sr.,"6'5""",307 lbs,"Noblesville, Ind.",Noblesville,https://iuhoosiers.com/images/2018/8/13/Knight_Brandon.jpg?width=80,2
RYAN,SMITH,64,OL,R-Fr.,"6'5""",282 lbs,"Loveland, Ohio",Moeller,https://iuhoosiers.com/images/2018/8/13/Smith_Ryan.jpg?width=80,2
DOMINIC,ALTIMARI,65,OL,R-Fr.,"6'4""",323 lbs,"Cincinnati, Ohio",St. Xavier,https://iuhoosiers.com/images/2018/8/3/Altimari_Dominic.jpg?width=80,2
AIDAN,RAFFERTY,66,OL,Fr.,"6'6""",280 lbs,"Kensington, Md.",Gonzaga College,https://iuhoosiers.com/images/2018/8/18/Rafferty_Aidan.jpg?width=80,2
CHRISTIAN,LOVE,67,"DL",Fr.,"6'0""",293 lbs,"Detroit, Mich.",Detroit Country Day School,https://iuhoosiers.com/images/2018/10/10/Love_Christian_LMK_9039_71.JPG?width=80,2
HUNTER,LITTLEJOHN,68,OL,R-Jr.,"6'3""",304 lbs,"Powell, Ohio",Olentangy Liberty,https://iuhoosiers.com/images/2018/8/13/Littlejohn_Hunter.jpg?width=80,2
GAVIN,EVERETT,69,DL,R-Jr.,"6'3""",262 lbs,"Center Grove, Ind.",Center Grove,https://iuhoosiers.com/images/2018/8/13/Everett_Gavin.jpg?width=80,2
ZENDEN,DELLINGER,70,OL,R-Fr.,"6'7""",325 lbs,"Fort Wayne, Ind.",Snider,https://iuhoosiers.com/images/2018/9/20/Dellinger.jpg?width=80,2
DELROY,BAKER,71,OL,R-Sr.,"6'6""",316 lbs,"Ocala, Fla.",Admiral Farragut,https://iuhoosiers.com/images/2018/8/3/Baker_Delroy.jpg?width=80,2
SIMON,STEPANIAK,72,OL,R-Jr.,"6'4""",311 lbs,"Hamilton, Ohio",Ross,https://iuhoosiers.com/images/2018/8/13/Stepaniak_Simon.jpg?width=80,2
NICK,MAROZAS,74,OL,Fr.,"6'5""",265 lbs,"Chicago, Ill.",Brother Rice,https://iuhoosiers.com/images/2018/7/22/Marozas_Nick.jpg?width=80,2
TOMMY,GREENE,75,OL,Fr.,"6'2""",258 lbs,"Chicago, Ill.",Marist,https://iuhoosiers.com/images/2018/8/2/Greene_Tommy.jpg?width=80,2
WES,MARTIN,76,OL,R-Sr.,"6'3""",316 lbs,"West Milton, Ohio",Milton-Union,https://iuhoosiers.com/images/2018/8/9/Martin_Wes.jpg?width=80,2
CALEB,JONES,77,OL,R-Fr.,"6'8""",360 lbs,"Indianapolis, Ind.",Lawrence North,https://iuhoosiers.com/images/2018/8/15/Jones_Caleb.jpg?width=80,2
BRITT,BEERY,78,OL,R-Fr.,"6'6""",301 lbs,"Carmel, Ind.",Carmel,https://iuhoosiers.com/images/2018/8/7/Beery_Britt_59.jpg?width=80,2
CHARLIE,O'CONNOR,79,OL,Fr.,"6'2""",296 lbs,"Western Springs, Ill.",Lyons Township,https://iuhoosiers.com/images/2018/8/2/O_Connor_Charlie.jpg?width=80,2
MILES,MARSHALL,80,WR,Fr.,"6'4""",210 lbs,"Lilburn, Ga.",Parkview,https://iuhoosiers.com/images/2018/7/22/Marshall_Miles.jpg?width=80,2
JACOLBY,HEWITT,82,WR,Fr.,"6'1""",200 lbs,"Cordova, Tenn.",Cordova,https://iuhoosiers.com/images/2018/8/15/Hewitt_Jacolby.jpg?width=80,2
LOGAN,JUSTUS,82,K,R-Jr.,"5'11""",180 lbs,"McCordsville, Ind.",Mt. Vernon,https://iuhoosiers.com/images/2018/8/13/Justus_Logan.jpg?width=80,2
AUSTIN,DORRIS,83,TE,R-Jr.,"6'5""",252 lbs,"Shadyside, Ohio",Shadyside,https://iuhoosiers.com/images/2018/8/13/Dorris_Austin.jpg?width=80,2
TJ,IVY,84,TE,Fr.,"6'5""",247 lbs,"Chicago, Ill.",Marist,https://iuhoosiers.com/images/2018/7/22/Ivy_T_J__73.jpg?width=80,2
RYAN,WATERCUTTER,85,TE,R-Sr.,"6'2""",231 lbs,"Fort Wayne, Ind.",Bishop Dwenger,https://iuhoosiers.com/images/2018/8/13/Watercutter_Ryan.jpg?width=80,2
PEYTON,HENDERSHOT,86,TE,R-Fr.,"6'4""",245 lbs,"North Salem, Ind.",Tri-West,https://iuhoosiers.com/images/2018/8/15/Hendershot_Peyton.jpg?width=80,2
JACK,CARDILLO,87,K,R-Fr.,"6'1""",174 lbs,"Evergreen, Colo.",Evergreen,https://iuhoosiers.com/images/2018/8/13/Cardillo_Jack.jpg?width=80,2
MICHAEL,ZIEMBA,87,DL,So.,"6'3""",264 lbs,"Lake Mary, Fla.",Lake Mary,https://iuhoosiers.com/images/2018/8/13/Ziemba_Mike.jpg?width=80,2
SHAUN,BONNER,88,TE,R-So.,"6'3""",253 lbs,"Moultrie, Ga.",Colquitt County,https://iuhoosiers.com/images/2018/8/7/Bonner_Shaun_8.jpg?width=80,2
MATT,BJORSON,89,TE,Fr.,"6'3""",237 lbs,"Hinsdale, Ill.",Hinsdale Central,https://iuhoosiers.com/images/2018/7/22/Bjorson_Matthew.jpg?width=80,2
ELIJAH,HILTUNEN,89,K,R-Fr.,"6'4""",175 lbs,"Indianapolis, Ind.",North Central,https://iuhoosiers.com/images/2017/10/8/20171004_FB_Headshots_Hiltunen_Elijah_CB_0008.JPG?width=80,2
CONNOR,SCHNEIDER,90,DL,R-Fr.,"6'2""",233 lbs,"Granger, Ind.",Penn,https://iuhoosiers.com/images/2018/8/2/Schneider_Connor_19.jpg?width=80,2
JARED,SMOLAR,90,K,R-So.,"5'11""",209 lbs,"Valparaiso, Ind.",Valparaiso,https://iuhoosiers.com/images/2018/8/13/Smolar_Jaed.jpg?width=80,2
JACOB,ROBINSON,91,DL,Sr.,"6'4""",295 lbs,"Westfield, Ind.",Westfield,https://iuhoosiers.com/images/2018/8/9/Robinson_Jacob.jpg?width=80,2
ALFRED,BRYANT,92,DL,R-Fr.,"6'2""",254 lbs,"Fresno, Texas",Manvel,https://iuhoosiers.com/images/2018/8/7/Bryant_Alfred_22.jpg?width=80,2
CHARLES,CAMPBELL,93,K,Fr.,"5'9""",172 lbs,"Jackson, Tenn.",University School of Jackson,https://iuhoosiers.com/images/2018/7/22/Campbell_Charles.jpg?width=80,2
LESHAUN,MINORJR.,93,DL,So.,"6'3""",310 lbs,"Indianapolis, Ind.",Ben Davis,https://iuhoosiers.com/images/2017/7/21/Minor_LeShaun_1.jpg?width=80,2
HAYDON,WHITEHEAD,94,P,R-Jr.,"6'2""",205 lbs,"Melbourne, Australia",McKinnon Secondary College,https://iuhoosiers.com/images/2018/8/18/Whitehead_Haydon.jpg?width=80,2
BRANDON,WILSON,95,DL,R-Jr.,"6'3""",285 lbs,"Winter Garden, Fla.",West Orange,https://iuhoosiers.com/images/2018/8/13/Wilson_Brandon.jpg?width=80,2
SHAMAR,JONES,96,DL,Fr.,"6'1""",274 lbs,"Johnstown, Pa.",Greater Johnstown,https://iuhoosiers.com/images/2018/7/22/Jones_Shamar.jpg?width=80,2
DAN,GODSIL,97,LS,Sr.,"6'4""",233 lbs,"Ottawa, Ohio",Ottawa-Glandorf,https://iuhoosiers.com/images/2018/8/10/Godsil_Dan.jpg?width=80,2
TRAMAR,REECE,97,DL,R-Fr.,"6'4""",252 lbs,"Clearwater, Fla.",Clearwater,https://iuhoosiers.com/images/2018/8/15/Reece_Tramar.jpg?width=80,2
JEROME,JOHNSON,98,DL,R-So.,"6'3""",295 lbs,"Bassfield, Miss.",Bassfield,https://iuhoosiers.com/images/2018/8/13/Johnson_Jerome.jpg?width=80,2
NATHANAEL,SNYDER,99,K,R-So.,"6'1""",190 lbs,"Greenwood, Ind.",Center Grove,https://iuhoosiers.com/images/2017/7/21/Snyder_Nathaniel_1.jpg?width=80,2
ALLEN,STALLINGS,99,DL,Jr.,"6'2""",247 lbs,"Maywood, Ill.",Oak Park and River Forest,https://iuhoosiers.com/images/2018/8/13/Stallings_Allen.jpg?width=80,2
