stat_type,stat_number,teamID
GP,33,1
GS,,1
MIN,6690,1
MIN/G,202.7,1
FGM,873,1
FGA,1893,1
FG%,.461,1
3PT,199,1
3PTA,636,1
3PT%,.313,1
FTM,433,1
FTA,658,1
FT%,.658,1
PTS,2378,1
AVG,72.06,1
OFF REB,322,1
DEF REB,876,1
REB,1198,1
REB/G,36.3,1
PF,563,1
AST,444,1
TO,411,1
STL,213,1
BLK,146,1
