stat_type,stat_number,teamID
ERA,3.19,3
WHIP,1.24,3
W,15,3
L,8,3
APP,79,3
GS,23,3
CG,0,3
SO,2,3
SV,4,3
IP,200.1,3
H,171,3
R,100,3
ER,71,3
BB,77,3
SO,185,3
2B,36,3
3B,4,3
HR,10,3
AB,753,3
B/AVG,.227,3
WP,19,3
HBP,21,3
BK,3,3
SFA,9,3
SHA,4,3
