stat_type,stat_number,athleteID,teamID
ERA,4.20,29,3
WHIP,1.40,29,3
W,2,29,3
L,0,29,3
APP,5,29,3
GS,3,29,3
CG,0,29,3
SHO-CG,0,29,3
SHO-APP,0,29,3
SV,0,29,3
IP,15.0,29,3
H,15,29,3
R,11,29,3
ER,7,29,3
BB,6,29,3
SO,12,29,3
2B,7,29,3
3B,0,29,3
HR,2,29,3
AB,60,29,3
B/AVG,.250,29,3
WP,3,29,3
HBP,0,29,3
BK,0,29,3
SFA,0,29,3
SHA,0,29,3
ERA,4.50,33,3
WHIP,1.25,33,3
W,1,33,3
L,2,33,3
APP,8,33,3
GS,0,33,3
CG,0,33,3
SHO-CG,0,33,3
SHO-APP,0,33,3
SV,0,33,3
IP,8.0,33,3
H,6,33,3
R,5,33,3
ER,4,33,3
BB,4,33,3
SO,8,33,3
2B,1,33,3
3B,0,33,3
HR,2,33,3
AB,31,33,3
B/AVG,.194,33,3
WP,1,33,3
HBP,0,33,3
BK,0,33,3
SFA,1,33,3
SHA,0,33,3
ERA,4.91,27,3
WHIP,2.50,27,3
W,0,27,3
L,0,27,3
APP,3,27,3
GS,0,27,3
CG,0,27,3
SHO-CG,0,27,3
SHO-APP,0,27,3
SV,0,27,3
IP,3.2,27,3
H,5,27,3
R,6,27,3
ER,2,27,3
BB,3,27,3
SO,1,27,3
2B,3,27,3
3B,0,27,3
HR,0,27,3
AB,16,27,3
B/AVG,.313,27,3
WP,1,27,3
HBP,1,27,3
BK,0,27,3
SFA,0,27,3
SHA,0,27,3
ERA,9.00,18,3
WHIP,2.00,18,3
W,0,18,3
L,0,18,3
APP,1,18,3
GS,0,18,3
CG,0,18,3
SHO-CG,0,18,3
SHO-APP,0,18,3
SV,0,18,3
IP,1.0,18,3
H,2,18,3
R,1,18,3
ER,1,18,3
BB,0,18,3
SO,1,18,3
2B,0,18,3
3B,1,18,3
HR,0,18,3
AB,5,18,3
B/AVG,.400,18,3
WP,0,18,3
HBP,0,18,3
BK,0,18,3
SFA,0,18,3
SHA,0,18,3
ERA,9.00,28,3
WHIP,2.50,28,3
W,0,28,3
L,0,28,3
APP,2,28,3
GS,0,28,3
CG,0,28,3
SHO-CG,0,28,3
SHO-APP,0,28,3
SV,1,28,3
IP,4.0,28,3
H,6,28,3
R,5,28,3
ER,4,28,3
BB,4,28,3
SO,3,28,3
2B,2,28,3
3B,0,28,3
HR,0,28,3
AB,18,28,3
B/AVG,.333,28,3
WP,0,28,3
HBP,2,28,3
BK,0,28,3
SFA,1,28,3
SHA,0,28,3
